Categoria,Tipu,Producte,Imatge,Alergens
Congelados,Aves y carne congelada,Town Burgers hamburguesa Black Angus USA Deluxe 100% carne sin aditivos sin gluten talla L,00201112900327____1__600x600.jpg,[]
Congelados,Aves y carne congelada,Town hamburguesa de vacuno de raza 100% carne sin aditivos clásica sin gluten talla L,00201112900301____1__600x600.jpg,[]
Congelados,Aves y carne congelada,Town hamburguesa de ternera ecológica 100% carne sin aditivos sin gluten talla L 2x130g,00118912900240____1__600x600.jpg,[]
Congelados,Aves y carne congelada,Town hamburguesa de ternera del Pirineo de Huesca 100% carne sin aditivos sin gluten,00118912900265____1__600x600.jpg,[]
Congelados,Aves y carne congelada,Town hamburguesa tradicional 100% carne sin aditivos sin gluten talla M 3x80g,00118935100075____1__600x600.jpg,[]
Congelados,"Helados, postres y nata",Caramel Attraction tarrinas de helado sabor caramelo 4 unidades de 86 ml,00118953904572____2__600x600.jpg,"['mantequilla', 'y de', 'Puede contener ingredientes de la', 'soja', 'huevo', 'Nata', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Fruit Collection tarrinas de helado sabores fruta 4 unidades 87 ml,00118953902006____7__600x600.jpg,"['leche', 'huevo', 'Nata']"
Congelados,"Helados, postres y nata",peanut butter crunch helado de mantequilla de cacahuete,00118952005959____1__600x600.jpg,"['cacahuete', 'huevo', 'Nata', 'cacahuetes', 'leche']"
Congelados,"Helados, postres y nata",Vanilla Attract tarrinas de helado varios sabores 4 unidades de 100ml,00118953905827____2__600x600.jpg,"['nueces pacanas', 'mantequilla', 'nueces de macadamia', 'huevo', 'Nata', 'leche', 'trigo', 'Puede contener ingredientes de otros frutos de cáscara.']"
Congelados,"Helados, postres y nata",tarrinas sabor mango 2 unidades y framabuesa 2 unidades de 100 ml,00118953907146____1__600x600.jpg,[]
Congelados,"Helados, postres y nata",tarrinas sabor yogur y yogur de fresa 4 unidades de 100 ml,00118953906536____6__600x600.jpg,"['Yogur', 'huevo', 'nata', 'leche']"
Congelados,"Helados, postres y nata",helado de chocolate con trocitos de chocolate con 70% de cacao ecuatoriano,00118952004960____1__600x600.jpg,"['leche', 'soja', 'frutos de cáscara', 'Leche']"
Congelados,"Helados, postres y nata",helado sorbete limón con zumo de limón,00118952000505____1__600x600.jpg,['leche']
Congelados,"Helados, postres y nata",Original helado de chocolate 70% cacao ecuatoriano,00118952000497____3__600x600.jpg,"['leche', 'Leche']"
Congelados,"Helados, postres y nata",Original helado de vainilla con extracto de vainilla natural de Madagascar,00118952000885____3__600x600.jpg,"['lactosa', 'leche', 'Leche']"
Congelados,"Helados, postres y nata",helado de fresas y merengue,00118952004143____2__600x600.jpg,"['Leche', 'Puede contener: soja y frutos secos.', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",helado de chocolate brownie,00118952004150____2__600x600.jpg,"['Puede contener frutos secos.', 'Leche', 'mantequilla', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",helado de yogur y frutas del bosque,00118952000562____2__600x600.jpg,"['Yogur', 'leche']"
Congelados,"Helados, postres y nata",helado de salsa de caramelo con mantequilla salada,00118952004366____1__600x600.jpg,"['leche', 'soja', 'Leche']"
Congelados,"Helados, postres y nata",helado de tarta de limón,00118952004358____1__600x600.jpg,[]
Congelados,"Helados, postres y nata",helado de tres chocolates,00118952004374____1__600x600.jpg,[]
Congelados,"Helados, postres y nata",helado stracciatella sin gluten,00118952000539____2__600x600.jpg,"['leche', 'Leche']"
Congelados,"Helados, postres y nata",helado de stracciatella sin gluten,00118952004705____1__600x600.jpg,"['mantequilla', 'leche', 'soja']"
Congelados,"Helados, postres y nata",helado de yogur y frutas del bosque sin gluten,00118952004788____1__600x600.jpg,"['lactosa', 'leche', 'Leche', 'láctico']"
Congelados,"Helados, postres y nata",helado de chocolate con trozos de chocolate belga,00118952004713____1__600x600.jpg,"['Leche', 'mantequilla', 'lactosa', 'soja', 'leche']"
Congelados,"Helados, postres y nata",helado de chocolate con trozos de galleta de chocolate,00118952004721____1__600x600.jpg,"['Leche', 'mantequilla', 'lactosa', 'cebada', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",helado de dulce de leche sin gluten,00118952004747____1__600x600.jpg,"['mantequilla', 'leche', 'Leche', 'lactosa']"
Congelados,"Helados, postres y nata",helado de menta con trozos de chocolate,00118952004754____2__600x600.jpg,"['Leche', 'mantequilla', 'lactosa', 'soja', 'leche']"
Congelados,"Helados, postres y nata",helado de tarta de queso con sirope de fresa y galletas,00118952004739____1__600x600.jpg,"['Leche', 'mantequilla', 'lactosa', 'soja', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",helado de vainilla y nueces de macadamia sin gluten,00118952004762____2__600x600.jpg,"['Leche', 'nueces', 'mantequilla', 'lactosa', 'leche', 'nuez']"
Congelados,"Helados, postres y nata",helado de yogur natural sin gluten,00118952004770____2__600x600.jpg,"['Leche', 'nata', 'lactosa', 'leche', 'láctico']"
Congelados,"Helados, postres y nata",Bob Marley One Love helado de plátano con caramelo y galleta y trozos de chocolate,00118952004853____1__600x600.jpg,"['mantequilla', 'soja', 'huevo', 'Nata', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",Fudge Brownie helado de chocolate con brownie,00118952001107____3__600x600.jpg,[]
